Date,Currency,Pair,Buying,Selling,Mid
30,1,2,3,4,5
7,8,9,10,11,12
14,15,16,17,18,19
21,22,23,24,25,26
28,29,30,31,1,2
4,5,6,7,8,9
24 Dec 2025,US Dollar,USDGHS,11.0945,11.1056,11.1000
24 Dec 2025,Pound Sterling,GBPGHS,14.9819,14.9980,14.9900
24 Dec 2025,Swiss Franc,CHFGHS,14.0702,14.0827,14.0765
24 Dec 2025,Australian Dollar,AUDGHS,7.4430,7.4525,7.4478
24 Dec 2025,Canadian Dollar,CADGHS,8.1163,8.1233,8.1198
24 Dec 2025,Danish Krone,DKKGHS,1.7495,1.7510,1.7503
24 Dec 2025,Japanese yen,JPYGHS,0.0712,0.0713,0.0713
24 Dec 2025,New Zealand Dollar,NZDGHS,6.4767,6.4852,6.4810
24 Dec 2025,Norwegian Krone,NOKGHS,1.1112,1.1119,1.1116
24 Dec 2025,Swedish Krona,SEKGHS,1.2103,1.2112,1.2108
24 Dec 2025,South African Rand,ZARGHS,0.6662,0.6669,0.6666
24 Dec 2025,Euro,EURGHS,13.0675,13.0793,13.0734
24 Dec 2025,Yuan Renminbi,CNYGHS,1.5819,1.5829,1.5824
24 Dec 2025,BCEAO,GHSXOF,50.1523,50.1976,50.1750
24 Dec 2025,Dalasi,GHSGMD,6.5541,6.5559,6.5550
24 Dec 2025,Ouguiya,GHSMRO,32.1622,32.2523,32.2073
24 Dec 2025,Naira,GHSNGN,130.5991,130.6901,130.6446
24 Dec 2025,Leone,GHSSLL,"2,081.0990","2,092.1351","2,086.6171"
24 Dec 2025,Ecowas,WAUGHS,0.0138,0.0138,0.0138
23 Dec 2025,US Dollar,USDGHS,11.3443,11.3557,11.3500
23 Dec 2025,Pound Sterling,GBPGHS,15.2944,15.3109,15.3027
23 Dec 2025,Swiss Franc,CHFGHS,14.3691,14.3831,14.3761
23 Dec 2025,Australian Dollar,AUDGHS,7.5906,7.6003,7.5955
23 Dec 2025,Canadian Dollar,CADGHS,8.2753,8.2833,8.2793
23 Dec 2025,Danish Krone,DKKGHS,1.7888,1.7902,1.7895
30,1,2,3,4,5
7,8,9,10,11,12
14,15,16,17,18,19
21,22,23,24,25,26
28,29,30,31,1,2
4,5,6,7,8,9
24 Dec 2025,US Dollar,USDGHS,11.0945,11.1056,11.1000
24 Dec 2025,Pound Sterling,GBPGHS,14.9819,14.9980,14.9900
24 Dec 2025,Swiss Franc,CHFGHS,14.0702,14.0827,14.0765
24 Dec 2025,Australian Dollar,AUDGHS,7.4430,7.4525,7.4478
24 Dec 2025,Canadian Dollar,CADGHS,8.1163,8.1233,8.1198
24 Dec 2025,Danish Krone,DKKGHS,1.7495,1.7510,1.7503
24 Dec 2025,Japanese yen,JPYGHS,0.0712,0.0713,0.0713
24 Dec 2025,New Zealand Dollar,NZDGHS,6.4767,6.4852,6.4810
24 Dec 2025,Norwegian Krone,NOKGHS,1.1112,1.1119,1.1116
24 Dec 2025,Swedish Krona,SEKGHS,1.2103,1.2112,1.2108
24 Dec 2025,South African Rand,ZARGHS,0.6662,0.6669,0.6666
24 Dec 2025,Euro,EURGHS,13.0675,13.0793,13.0734
24 Dec 2025,Yuan Renminbi,CNYGHS,1.5819,1.5829,1.5824
24 Dec 2025,BCEAO,GHSXOF,50.1523,50.1976,50.1750
24 Dec 2025,Dalasi,GHSGMD,6.5541,6.5559,6.5550
24 Dec 2025,Ouguiya,GHSMRO,32.1622,32.2523,32.2073
24 Dec 2025,Naira,GHSNGN,130.5991,130.6901,130.6446
24 Dec 2025,Leone,GHSSLL,"2,081.0990","2,092.1351","2,086.6171"
24 Dec 2025,Ecowas,WAUGHS,0.0138,0.0138,0.0138
23 Dec 2025,US Dollar,USDGHS,11.3443,11.3557,11.3500
23 Dec 2025,Pound Sterling,GBPGHS,15.2944,15.3109,15.3027
23 Dec 2025,Swiss Franc,CHFGHS,14.3691,14.3831,14.3761
23 Dec 2025,Australian Dollar,AUDGHS,7.5906,7.6003,7.5955
23 Dec 2025,Canadian Dollar,CADGHS,8.2753,8.2833,8.2793
23 Dec 2025,Danish Krone,DKKGHS,1.7888,1.7902,1.7895
