date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#loc+market+code,#geo+lat,#geo+lon,#item+type,#item+name,#item+code,#item+unit,#item+price+flag,#item+price+type,#currency+code,#value,#value+usd
2012-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,383.88,0.089
2012-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3600,0.83
2012-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3600,0.83
2012-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,13333.33,3.08
2012-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,20000,4.62
2012-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,miscellaneous food,"Chili (red, dry raw)",466,KG,actual,Retail,SLL,10869.57,2.51
2012-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,6666.67,1.54
2012-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,pulses and nuts,Groundnuts (shelled),119,KG,actual,Retail,SLL,8333.33,1.93
2012-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,pulses and nuts,Pigeon peas,155,KG,actual,Retail,SLL,4347.83,1.01
2012-02-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,11363.64,2.63
2012-08-15,Eastern,Kenema,Kenema,342,7.88,-11.19,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,1111.11,0.26
2012-08-15,Eastern,Kenema,Kenema,342,7.88,-11.19,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3600,0.84
2012-08-15,Eastern,Kenema,Kenema,342,7.88,-11.19,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,5000,1.16
2012-08-15,Eastern,Kenema,Kenema,342,7.88,-11.19,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,22222.22,5.16
2012-08-15,Eastern,Kenema,Kenema,342,7.88,-11.19,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,5666.67,1.31
2012-09-15,Southern,Bonthe,Bonthe,1774,7.53,-12.5,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,537.63,0.13
2012-09-15,Southern,Bonthe,Bonthe,1774,7.53,-12.5,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3800,0.88
2012-09-15,Southern,Bonthe,Bonthe,1774,7.53,-12.5,"meat, fish and eggs",Fish (bonga),152,KG,actual,Retail,SLL,9728.51,2.26
2012-09-15,Southern,Bonthe,Bonthe,1774,7.53,-12.5,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,6000,1.4
2012-09-15,Southern,Bonthe,Bonthe,1774,7.53,-12.5,pulses and nuts,Beans (fava),104,KG,actual,Retail,SLL,4600,1.07
2012-09-15,Southern,Bonthe,Bonthe,1774,7.53,-12.5,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,13333.33,3.1
2012-10-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,1000,0.23
2012-10-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,3600,0.84
2012-10-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,25000,5.81
2012-10-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,oil and fats,Oil (palm),62,KG,actual,Retail,SLL,6000,1.4
2012-10-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,pulses and nuts,Pigeon peas,155,KG,actual,Retail,SLL,3200,0.74
2012-10-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,6000,1.4
2012-11-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,977.27,0.23
2012-11-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3600,0.84
2012-11-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,"meat, fish and eggs",Meat (beef),141,KG,actual,Retail,SLL,25000,5.86
2012-11-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,miscellaneous food,"Chili (red, dry raw)",466,KG,actual,Retail,SLL,6000,1.41
2012-11-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,pulses and nuts,Groundnuts (shelled),119,KG,actual,Retail,SLL,7200,1.69
2012-11-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,pulses and nuts,Pigeon peas,155,KG,actual,Retail,SLL,3200,0.75
2012-11-15,North Western,Port Loko,Port Loko,345,8.77,-12.78,vegetables and fruits,Peppers (green),292,KG,actual,Retail,SLL,6500,1.52
2013-01-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,cereals and tubers,Cassava,68,KG,actual,Retail,SLL,414.81,0.097
2013-01-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,cereals and tubers,Rice (imported),64,KG,actual,Retail,SLL,2901.35,0.68
2013-01-15,Eastern,Kailahun,Kailahun,344,8.28,-10.57,cereals and tubers,Rice (local),71,KG,actual,Retail,SLL,3486.49,0.81
