date,code,usdprice
#date,#meta+code,#value+usd
2013-01-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,6.04
2013-02-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,6.07
2013-05-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.6
2013-06-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,6.49
2013-08-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,0.56
2013-08-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,0.56
2013-08-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,0.56
2013-08-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,0.56
2013-09-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,6.61
2013-10-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,6.73
2013-10-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,6.73
2013-11-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,6.79
2016-07-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,6.47
2016-07-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,6.47
2016-08-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,2.8
2016-08-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,2.8
2016-08-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,2.8
2016-08-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,2.8
2016-09-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,2.68
2016-10-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.96
2016-10-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.96
2016-10-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.96
2016-10-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.96
2016-11-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,6.11
2016-11-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,6.11
2016-12-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.8
2016-12-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.8
2016-12-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.8
2016-12-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.8
2017-01-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.32
2017-01-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.32
2017-01-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.32
2017-02-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.31
2017-02-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.31
2017-03-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.45
2017-03-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.45
2017-04-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.42
2017-04-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.42
2017-04-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.42
2017-05-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.51
2017-05-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.51
2017-06-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.26
2017-07-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.35
2017-07-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.35
2017-08-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.35
2017-08-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.35
2017-09-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.37
2017-09-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.37
2017-10-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.26
2017-11-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.18
2017-12-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.23
2017-12-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.23
2018-01-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.36
2018-02-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.11
2018-02-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.11
2018-02-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.11
2018-02-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.11
2018-03-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.15
2018-03-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.15
2018-03-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.15
2018-04-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,4.88
2018-05-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.17
2018-05-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.17
2018-05-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.17
2018-05-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.17
2018-07-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.08
2018-07-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.08
2018-07-15,Western Area-Western Urban-Freetown-Meat (beef)-KG-Retail-SLL,5.08
